iter	AUC	CrossEntropy	Accuracy
197	0.9958267212	0.1063438847	0.9652956298
198	0.995831728	0.1060601359	0.9652956298
199	0.9958465695	0.1058206632	0.9652956298
200	0.9958614111	0.1056198473	0.9652956298
201	0.9958812594	0.1054679851	0.9652956298
202	0.9958944917	0.1051651236	0.9659383033
203	0.9959192872	0.1048815612	0.9665809769
204	0.9959671497	0.1044942861	0.9665809769
205	0.9960150719	0.1040385327	0.9665809769
206	0.9960283041	0.1037711803	0.9665809769
207	0.9960530996	0.1034050282	0.9665809769
208	0.9960563779	0.1031084821	0.9665809769
209	0.9960728884	0.1028491023	0.9665809769
210	0.9960795045	0.1027113613	0.9665809769
211	0.996145606	0.1024288972	0.9665809769
212	0.9961704016	0.1020984012	0.9665809769
213	0.9961869121	0.1019199244	0.9665809769
214	0.996221602	0.1014651223	0.9665809769
215	0.9962463975	0.1012303075	0.9665809769
216	0.9962661862	0.1010329533	0.9672236504
217	0.9962893128	0.100771171	0.9672236504
218	0.9963207245	0.1004508639	0.9678663239
219	0.9963356256	0.1001868162	0.9685089974
220	0.9963653088	0.09965893665	0.9685089974
221	0.9963752627	0.09953484621	0.9685089974
222	0.9963983893	0.09931778111	0.9685089974
223	0.9964231849	0.09898392155	0.9685089974
224	0.9964429736	0.09865766197	0.9685089974
225	0.9964694381	0.09830442492	0.969151671
226	0.9964793324	0.09808422177	0.9697943445
227	0.9964892268	0.09788744615	0.9697943445
228	0.996504128	0.09770382094	0.9697943445
229	0.9965173602	0.09760274617	0.9697943445
230	0.9965140224	0.09735007396	0.9697943445
231	0.9965156913	0.09721331363	0.9697943445
232	0.9965305328	0.09678145852	0.9697943445
233	0.9965668917	0.0963504958	0.9697943445
234	0.9966032505	0.09601175264	0.9697943445
235	0.9966577888	0.09557716154	0.9697943445
236	0.9966908097	0.09511295505	0.9697943445
237	0.9967238307	0.09483098126	0.9697943445
238	0.9967700839	0.09445086482	0.9697943445
239	0.9968047738	0.09412544858	0.9697943445
240	0.9968312383	0.09386789278	0.9697943445
241	0.9968626499	0.09356499209	0.970437018
242	0.9968791604	0.09329396226	0.9710796915
243	0.996902287	0.09295471897	0.9710796915
244	0.9969468713	0.09244327496	0.9710796915
245	0.9969865084	0.09206111879	0.9710796915
246	0.9970113039	0.09183623797	0.9710796915
247	0.9970377684	0.09150004448	0.9710796915
248	0.9970526099	0.09111202407	0.9710796915
249	0.9970526099	0.09099792637	0.9710796915
250	0.9970856905	0.09069228969	0.9710796915
251	0.9970988631	0.09041870039	0.9710796915
252	0.9971038103	0.09026248412	0.9710796915
253	0.9971418381	0.0898555079	0.9710796915
254	0.9971550703	0.08962191898	0.9710796915
255	0.9971814752	0.0894070309	0.9710796915
256	0.9972211123	0.08911039652	0.9710796915
257	0.9972459078	0.08888991878	0.9710796915
258	0.9972707033	0.08855912863	0.9710796915
259	0.9972971082	0.0883000038	0.9710796915
260	0.9973152876	0.08796568334	0.9710796915
261	0.9973665476	0.08740666838	0.9710796915
262	0.9973813891	0.08717986551	0.9710796915
263	0.9974194169	0.08681718488	0.9710796915
264	0.9974541068	0.08625631651	0.971722365
265	0.9974755645	0.08604576287	0.971722365
266	0.9974887967	0.08568847578	0.9723650386
267	0.9975069761	0.08534951688	0.971722365
268	0.9975284338	0.08513863963	0.971722365
269	0.997566402	0.08487683764	0.9723650386
270	0.997574687	0.08466949071	0.9723650386
271	0.9975779653	0.08446818452	0.9723650386
272	0.9975845814	0.08439191019	0.9723650386
273	0.9976457357	0.08381230175	0.9723650386
274	0.9976639152	0.08348202154	0.9723650386
275	0.9976820946	0.0832030289	0.9730077121
276	0.9977084994	0.08300834205	0.9730077121
277	0.9977234006	0.08279509164	0.9730077121
278	0.9977349639	0.08264679896	0.9723650386
279	0.9977465272	0.08235968661	0.9723650386
280	0.9977647066	0.08215023129	0.9723650386
281	0.9977647066	0.08192500725	0.9723650386
282	0.9977812171	0.08168010172	0.9742930591
283	0.9977977276	0.08151296111	0.9742930591
284	0.9978274703	0.08134513894	0.9736503856
285	0.9978390336	0.08114636772	0.9742930591
286	0.997848928	0.08093757924	0.9736503856
287	0.9978621602	0.08079044862	0.9742930591
288	0.9978770018	0.08062180762	0.9742930591
289	0.997890234	0.08047607932	0.9742930591
290	0.9979034662	0.08029675913	0.9742930591
291	0.9979166985	0.08012668639	0.9742930591
292	0.9979398251	0.07968514254	0.9742930591
293	0.9979480505	0.07952839672	0.9742930591
294	0.9979827404	0.07926718312	0.9749357326
295	0.9979910254	0.07908051302	0.9762210797
296	0.9980108738	0.07881987309	0.9768637532
297	0.9980372787	0.07858957423	0.9762210797
298	0.998074472	0.07822984534	0.9762210797
299	0.9980959296	0.07798436123	0.9762210797
300	0.9981231689	0.07775561178	0.9762210797
301	0.9981413484	0.07763634611	0.9762210797
302	0.9981479645	0.07749394709	0.9762210797
303	0.9981678128	0.07717197781	0.9768637532
304	0.9981744289	0.07687555426	0.9768637532
305	0.9981859922	0.0767645652	0.9768637532
306	0.9981958866	0.07661330608	0.9775064267
307	0.9981975555	0.07647609956	0.9775064267
308	0.9981991649	0.07639630472	0.9775064267
309	0.9982123971	0.07616529489	0.9775064267
310	0.9982322454	0.07587358823	0.9775064267
311	0.9982438087	0.07556232266	0.9768637532
312	0.9982520342	0.07546571962	0.9768637532
313	0.9982686043	0.0751612548	0.9768637532
314	0.9982751608	0.07500555338	0.9768637532
315	0.9982933402	0.07483565225	0.9768637532
316	0.9983082414	0.07464911454	0.9775064267
317	0.998329699	0.07450699009	0.9775064267
318	0.9983429313	0.07419923522	0.9781491003
319	0.9983528256	0.07405978303	0.9787917738
320	0.9983710051	0.07380456115	0.9787917738
321	0.9983891845	0.07370266755	0.9787917738
322	0.9984007478	0.07348650464	0.9787917738
323	0.998405695	0.07336401265	0.9787917738
324	0.9984090328	0.07328586529	0.9787917738
325	0.9984205961	0.07310290202	0.9781491003
326	0.9984403849	0.07291307425	0.9781491003
327	0.998447001	0.07270829659	0.9794344473
328	0.9984619021	0.07252963343	0.9787917738
329	0.9984750748	0.0723068659	0.9794344473
330	0.9984833598	0.0721308946	0.9794344473
331	0.998496592	0.07196870132	0.9794344473
332	0.9985378981	0.07176915539	0.9794344473
333	0.9985544086	0.07156262238	0.9794344473
334	0.9985610247	0.07145315822	0.9794344473
335	0.9985659719	0.07132189439	0.9794344473
336	0.9985792041	0.07108719245	0.9794344473
337	0.9985874295	0.07093736506	0.9800771208
338	0.9985973239	0.07083831532	0.9800771208
339	0.9986023307	0.07065638172	0.9800771208
340	0.9986122251	0.07051660101	0.9800771208
341	0.9986650944	0.06994345991	0.9800771208
342	0.9986799359	0.06969243028	0.9800771208
343	0.9986898899	0.0695128306	0.9800771208
344	0.9986948371	0.06943258957	0.9807197943
345	0.9987080693	0.06929091623	0.9807197943
346	0.9987162948	0.06920388425	0.9807197943
347	0.9987278581	0.06907153191	0.9807197943
348	0.9987674952	0.06847510056	0.9813624679
349	0.9987873435	0.06826475286	0.9813624679
350	0.9988055229	0.06810974768	0.9813624679
351	0.9988170862	0.06799127142	0.9813624679
352	0.9988319278	0.06789296207	0.9813624679
353	0.9988434911	0.06765432284	0.9813624679
354	0.9988583922	0.06745830232	0.9813624679
355	0.9988616705	0.06733903664	0.9807197943
356	0.9988682866	0.06708561424	0.9813624679
357	0.998878181	0.06698950642	0.9813624679
358	0.9988798499	0.06689678673	0.9807197943
359	0.9988947511	0.06670101627	0.9813624679
360	0.9989063144	0.0665422013	0.9813624679
361	0.9989112616	0.06647503223	0.9813624679
362	0.9989211559	0.06634335162	0.9813624679
363	0.9989228249	0.06615707868	0.9820051414
364	0.9989343882	0.06602461356	0.9820051414
365	0.9989343882	0.06597305141	0.9820051414
366	0.998960793	0.06570329642	0.9826478149
367	0.998960793	0.06560798782	0.9826478149
368	0.9989674091	0.0654602394	0.9826478149
369	0.9989690781	0.06536870138	0.9826478149
370	0.9989855886	0.06520188927	0.9826478149
371	0.9989889264	0.06497229157	0.9826478149
372	0.9990153313	0.06456626657	0.9826478149
373	0.9990252256	0.06441534577	0.9832904884
374	0.9990285635	0.06429192707	0.9832904884
375	0.9990434051	0.06416614993	0.9832904884
376	0.9990566373	0.06399830325	0.9832904884
377	0.9990599155	0.06392453446	0.9832904884
378	0.9990665317	0.06376963226	0.9832904884
379	0.9990665317	0.06370527763	0.9832904884
380	0.9990814328	0.06349656269	0.9832904884
381	0.9991243482	0.0629788867	0.9832904884
382	0.9991326332	0.06286679932	0.9832904884
383	0.9991392493	0.06243377725	0.9832904884
384	0.9991475344	0.06236197955	0.983933162
385	0.9991557598	0.06212757179	0.983933162
386	0.9991656542	0.06195826396	0.983933162
387	0.9991656542	0.06185956234	0.983933162
388	0.9991739392	0.06169171566	0.983933162
389	0.9991756082	0.06148286344	0.983933162
390	0.9991822243	0.06139413005	0.983933162
391	0.9991937876	0.0612990372	0.983933162
392	0.9992036819	0.06121932572	0.983933162
393	0.9992135763	0.06108204074	0.983933162
394	0.9992300868	0.06074244443	0.983933162
395	0.9992400408	0.06060946447	0.983933162
396	0.9992548823	0.06044501572	0.983933162
397	0.9992565513	0.0603965622	0.983933162
398	0.9992614985	0.0602398311	0.9845758355
399	0.9992631674	0.06017487827	0.9845758355
400	0.9992664456	0.0599569404	0.9845758355
401	0.9992763996	0.05965316694	0.9845758355
402	0.9992780089	0.05959379397	0.9845758355
403	0.9992796779	0.0594397106	0.9845758355
404	0.999286294	0.05933285005	0.9845758355
405	0.999286294	0.05928045435	0.9845758355
406	0.9992879629	0.0592110347	0.9845758355
407	0.9992961884	0.05904089332	0.9845758355
408	0.9992945194	0.05898431518	0.9845758355
409	0.9993044734	0.05887804791	0.9845758355
410	0.9993143678	0.05880278855	0.9845758355
411	0.9993160367	0.05871055917	0.9845758355
412	0.999319315	0.05861840334	0.9845758355
413	0.9993209839	0.05858216862	0.9845758355
414	0.9993226528	0.05853512232	0.9845758355
415	0.9993226528	0.05845899508	0.9845758355
416	0.9993325472	0.05830761338	0.9845758355
417	0.9993342161	0.05813841832	0.9845758355
418	0.9993374944	0.05809894748	0.9845758355
419	0.9993424416	0.05791846033	0.985218509
420	0.9993473887	0.05785291422	0.9858611825
421	0.9993540049	0.05772229761	0.9858611825
422	0.9993573427	0.05765814401	0.9858611825
423	0.999358952	0.05758333574	0.9858611825
424	0.9993622899	0.05744553593	0.986503856
425	0.9993705153	0.05728498523	0.986503856
426	0.9993755221	0.05719538887	0.986503856
427	0.9993788004	0.05714698929	0.986503856
428	0.9993837476	0.05698909612	0.986503856
429	0.9993854165	0.05693307205	0.986503856
430	0.9993870854	0.05688152951	0.986503856
431	0.9993937016	0.05675377637	0.986503856
432	0.9993969798	0.05670217009	0.9871465296
433	0.9993969798	0.05664139971	0.9877892031
434	0.9994002581	0.0565211681	0.9877892031
435	0.9994052649	0.05645822559	0.9877892031
436	0.9994184375	0.05621229039	0.9877892031
437	0.9994217753	0.0561641752	0.9877892031
438	0.9994233847	0.05609308846	0.9877892031
439	0.9994300008	0.0559706406	0.9877892031
440	0.9994333386	0.05588087263	0.9884318766
441	0.9994399548	0.05559387305	0.9884318766
442	0.9994449019	0.0555096212	0.9884318766
443	0.9994481802	0.05545580356	0.9884318766
444	0.9994515181	0.05530028355	0.9884318766
445	0.9994515181	0.0552403173	0.9884318766
446	0.9994581342	0.05511787434	0.9884318766
447	0.9994581342	0.05492461433	0.9884318766
448	0.9994696975	0.05474132744	0.9884318766
449	0.9994828701	0.05466342524	0.9884318766
450	0.9994878173	0.05450179093	0.9890745501
451	0.9994928241	0.05443549463	0.9890745501
452	0.9994944334	0.05437997558	0.9890745501
453	0.9995043874	0.05423287438	0.9890745501
454	0.9995043874	0.05420538699	0.9890745501
455	0.9995093346	0.05405445638	0.9890745501
456	0.99951756	0.0537501975	0.9897172237
457	0.9995192289	0.05365023576	0.9897172237
458	0.9995208979	0.05356163476	0.9897172237
459	0.9995225668	0.05342875777	0.9897172237
460	0.9995324612	0.05326541224	0.9897172237
461	0.9995324612	0.05311731569	0.9897172237
462	0.9995357394	0.05308466031	0.9897172237
463	0.9995374084	0.05302520399	0.9897172237
464	0.9995390773	0.05288631567	0.9897172237
465	0.9995390773	0.0528451238	0.9897172237
466	0.9995390773	0.05273018276	0.9897172237
467	0.9995390773	0.05265575203	0.9897172237
468	0.9995423555	0.05260464097	0.9897172237
469	0.9995440245	0.05256931825	0.9897172237
470	0.9995506406	0.05233838687	0.9897172237
471	0.9995506406	0.05230403008	0.9897172237
472	0.9995753765	0.05190240816	0.9903598972
473	0.9995720983	0.05186037294	0.9903598972
474	0.9995720983	0.05182770285	0.9903598972
475	0.9995853305	0.05174158778	0.9903598972
476	0.9995902777	0.05167956708	0.9903598972
477	0.9995952249	0.05156945079	0.9903598972
478	0.9995952249	0.05144598797	0.9903598972
479	0.9996035099	0.05134693822	0.9903598972
480	0.9996084571	0.05127853845	0.9903598972
481	0.999610126	0.05119955754	0.9903598972
482	0.9996183515	0.05105597685	0.9903598972
483	0.9996166825	0.05091650504	0.9903598972
484	0.9996200204	0.05083655821	0.9903598972
485	0.9996200204	0.0507968373	0.9903598972
486	0.9996200204	0.05075960233	0.9903598972
487	0.9996216893	0.05069196255	0.9903598972
488	0.9996266365	0.05066656392	0.9903598972
489	0.9996299148	0.05062351374	0.9903598972
490	0.9996299148	0.05058337116	0.9903598972
491	0.9996398091	0.05028690348	0.9903598972
492	0.9996398091	0.05023294365	0.9903598972
493	0.9996414781	0.05020565239	0.9903598972
494	0.9996464252	0.05007194676	0.9903598972
495	0.9996464252	0.05004070841	0.9903598972
496	0.9996464252	0.0499560692	0.9903598972
497	0.999651432	0.04986467337	0.9903598972
498	0.999651432	0.0498315669	0.9903598972
499	0.9996596575	0.04973170322	0.9903598972
500	0.9996662736	0.04965065807	0.9903598972
501	0.9996662736	0.04962830433	0.9903598972
502	0.9996662736	0.04958293983	0.9903598972
503	0.9996679425	0.0495346138	0.9903598972
504	0.9996679425	0.04949290219	0.9903598972
505	0.9996695518	0.04945141123	0.9903598972
506	0.9996712208	0.04939324445	0.9903598972
507	0.9996712208	0.04936312403	0.9903598972
508	0.9996728897	0.04927578806	0.9903598972
509	0.999676168	0.04915798844	0.9910025707
510	0.9996795058	0.04905278517	0.9910025707
511	0.9996861219	0.04899551568	0.9910025707
512	0.9996861219	0.04889223937	0.9910025707
513	0.9996877313	0.04883174847	0.9910025707
514	0.9996992946	0.04874376037	0.9910025707
515	0.9996992946	0.04865753252	0.9910025707
516	0.9997026324	0.04860738249	0.9910025707
517	0.9997092485	0.04852023284	0.9910025707
518	0.9997108579	0.04845416699	0.9910025707
519	0.9997240901	0.04840440922	0.9910025707
520	0.9997240901	0.0483310621	0.9910025707
521	0.999725759	0.04827613144	0.9910025707
522	0.999725759	0.04824064691	0.9910025707
523	0.9997290373	0.04821278687	0.9910025707
524	0.9997323751	0.04805429061	0.9910025707
525	0.9997339845	0.04803683519	0.9910025707
526	0.9997406006	0.04796839128	0.9910025707
527	0.9997406006	0.04793087682	0.9910025707
528	0.9997439384	0.04785181747	0.9910025707
529	0.9997439384	0.04778642336	0.9910025707
530	0.9997439384	0.04772412808	0.9910025707
531	0.9997439384	0.04765589501	0.9910025707
532	0.9997455478	0.04761256534	0.9910025707
533	0.9997455478	0.04758202815	0.9910025707
534	0.9997505546	0.04736066294	0.9910025707
535	0.9997538328	0.04732277093	0.9910025707
536	0.9997555017	0.04730367783	0.9910025707
537	0.9997555017	0.0472770436	0.9910025707
538	0.9997621179	0.04713231065	0.9910025707
539	0.9997720122	0.04694660648	0.9910025707
540	0.9997786283	0.04688094269	0.9910025707
541	0.9997802973	0.04681452381	0.9910025707
542	0.9997819066	0.04678347668	0.9910025707
543	0.9997819066	0.04676544268	0.9910025707
544	0.9997835755	0.04669633194	0.9910025707
545	0.9997835755	0.04660222463	0.9910025707
546	0.9997918606	0.04628031419	0.9910025707
547	0.999800086	0.04619314493	0.9910025707
548	0.9997984171	0.04611317848	0.9910025707
549	0.9998034239	0.04607336932	0.9910025707
550	0.9998050332	0.04600710244	0.9910025707
551	0.9998083711	0.04594307632	0.9910025707
552	0.9998083711	0.04585802034	0.9910025707
553	0.9998083711	0.04582768909	0.9910025707
554	0.9998083711	0.04578970392	0.9910025707
555	0.9998099804	0.04576917908	0.9910025707
556	0.9998099804	0.04575493035	0.9910025707
557	0.9998099804	0.04565160011	0.9910025707
558	0.9998099804	0.04552791174	0.9910025707
559	0.9998133183	0.04548760735	0.9910025707
560	0.9998165965	0.04543220108	0.9910025707
561	0.9998215437	0.04537049909	0.9910025707
562	0.9998215437	0.0453327885	0.9910025707
563	0.9998248816	0.04530338886	0.9910025707
564	0.9998463392	0.04500962775	0.9910025707
565	0.9998480082	0.04493356425	0.9910025707
566	0.9998496771	0.04487142587	0.9910025707
567	0.9998496771	0.04485469612	0.9910025707
568	0.9998496771	0.04481491638	0.9910025707
569	0.9998496771	0.04478468319	0.9910025707
570	0.9998496771	0.04475741154	0.9910025707
571	0.9998512864	0.04468936479	0.9910025707
572	0.9998512864	0.04465830786	0.9910025707
573	0.9998529553	0.04462546616	0.9910025707
574	0.9998529553	0.04458588745	0.9910025707
575	0.9998562932	0.04455745864	0.9910025707
576	0.9998546243	0.04448089992	0.9910025707
577	0.9998562932	0.04441709445	0.9910025707
578	0.9998562932	0.04435319091	0.9910025707
579	0.9998562932	0.04428155502	0.9910025707
580	0.9998595715	0.04420641823	0.9910025707
581	0.9998595715	0.04418302011	0.9910025707
582	0.9998595715	0.04416495669	0.9910025707
583	0.9998612404	0.04412934958	0.9910025707
584	0.9998628497	0.04395573672	0.9910025707
585	0.9998661876	0.04369317474	0.9916452442
586	0.9998678565	0.04364269619	0.9916452442
587	0.9998678565	0.04362451509	0.9916452442
588	0.9998694658	0.04356244046	0.9916452442
589	0.9998728037	0.04330573781	0.9916452442
590	0.9998728037	0.04328699774	0.9916452442
591	0.9998728037	0.04323529339	0.9916452442
592	0.999874413	0.04314244131	0.9916452442
593	0.999874413	0.04310346569	0.9916452442
594	0.9998760819	0.04308267118	0.9916452442
595	0.9998794198	0.04295975261	0.9916452442
596	0.9998794198	0.04293823733	0.9910025707
597	0.9998826981	0.04285318625	0.9916452442
598	0.9998826981	0.04279375444	0.9916452442
599	0.9998859763	0.04272048578	0.9916452442
600	0.9998859763	0.04263746953	0.9916452442
601	0.9998859763	0.0426036668	0.9916452442
602	0.9998859763	0.04257004059	0.9916452442
603	0.9998859763	0.04251095201	0.9916452442
